qtype,Question,Answer
treatment,What are the treatments for Parasites - Scabies ?,"Suggested General Guidelines 
  
    
   
  
It is important to remember that the first time a person gets scabies they usually have no symptoms during the first 2 to 6 weeks they are infested; however they can still spread scabies during this time. 
  
Treatment should be given to both the infested person and to household members and sexual contacts, particularly those who have had prolonged direct skin-to-skin contact with the infested person. Both sexual and close personal contacts who have had direct prolonged skin-to-skin contact with an infested person within the preceding month should be examined and treated. All persons should be treated at the same time to prevent reinfestation. Scabies may sometimes be sexually-acquired in adults, but is rarely sexually-acquired in children. 
  
Bedding, clothing, and towels used by infested persons or their household, sexual, and close contacts (as defined above) anytime during the three days before treatment should be decontaminated by washing in hot water and drying in a hot dryer, by dry-cleaning, or by sealing in a plastic bag for at least 72 hours. Scabies mites generally do not survive more than 2 to 3 days away from human skin. 
  
Use of insecticide sprays and fumigants is not recommended. 
    
  Medications Used to Treat Scabies 
  
    
   
  
Products used to treat scabies are called scabicides because they kill scabies mites; some also kill mite eggs. Scabicides used to treat human scabies are available only with a doctor’s prescription. No “over-the-counter” (non-prescription) products have been tested and approved to treat scabies. 
  
Scabicide should be applied to all areas of the body from the neck down to the feet and toes. In addition, when treating infants and young children, scabicide also should be applied to their entire head and neck because scabies can affect their face, scalp, and neck, as well as the rest of their body. The scabicide should be applied to a clean body and left on for the recommended time before washing it off. Clean clothing should be worn after treatment. 
  
The instructions contained in the box or printed on the label always should be followed carefully. Always contact a doctor or pharmacist if unsure how to use a particular medicine. 
  
Because the symptoms of scabies are due to a hypersensitivity reaction (allergy) to mites and their feces (scybala), itching still may continue for several weeks after treatment even if all the mites and eggs are killed. If itching still is present more than 2 to 4 weeks after treatment or if new burrows or pimple-like rash lesions continue to appear, retreatment may be necessary. 
  
Skin sores that become infected should be treated with an appropriate antibiotic prescribed by a doctor."
symptoms,What are the symptoms of Alkhurma Hemorrhagic Fever (AHF) ?,"Based on limited information, after an incubation period that could be as short as 2-4 days, the disease presents initially with non-specific flu-like symptoms, including fever, anorexia (loss of appetite), general malaise, diarrhea, and vomiting; a second phase has appeared in some patients, and includes neurologic and hemorrhagic symptoms in severe form. Multi-organ failure precedes fatal outcomes. No repeated or chronic symptoms have been reported following recovery. Evidence suggests that a milder form may exist, where hospitalization is not required. 
                
Thrombocytopenia, leukopenia, and elevated liver enzymes are nearly always observed in patients who have been hospitalized."
treatment,What are the treatments for Alkhurma Hemorrhagic Fever (AHF) ?,"There is no standard specific treatment for the disease. Patients receive supportive therapy, which consists of balancing the patient’s fluid and electrolytes, maintaining oxygen status and blood pressure, and treatment for any complications. Mortality in hospitalized patients ranges from 1-20%."
treatment,What are the treatments for Parasites - Taeniasis ?,"Treatment is available after accurate diagnosis. Your doctor will provide prescription medication, either praziquantel or niclosamide, which is taken by mouth. The medication is also available in a children’s dosage. Work with your health care provider for proper treatment options for you and your family.
    
More on: Resources For Health Professionals: Treatment"
treatment,What are the treatments for Parasites - Baylisascaris infection ?,"No drugs have been shown to be totally effective for the treatment of Baylisascaris infection. Albendazole, a broad spectrum anthelmintic, has been recommended for specific cases.
    
Early treatment might reduce serious damage caused by the infection. Should you suspect you may have ingested raccoon feces, seek immediate medical attention.
    
More on: Resources for Health Professionals: Treatment"
treatment,What are the treatments for Parasites - Babesiosis ?,"Effective treatments are available. People who do not have any symptoms or signs of babesiosis usually do not need to be treated.
    
Before considering treatment, the first step is to make sure the diagnosis is correct.
    
For more information, people should talk to their health care provider.
    
More on: Resources for Health Professionals: Treatment"
symptoms,what are the signs and symptoms of rabies?,"The first symptoms of rabies may be very similar to those of the flu including general weakness or discomfort, fever, or headache. These symptoms may last for days.
                
There may be also discomfort or a prickling or itching sensation at the site of bite, progressing within days to symptoms of cerebral dysfunction, anxiety, confusion, agitation. As the disease progresses, the person may experience delirium, abnormal behavior, hallucinations, and insomnia.
                
The acute period of disease typically ends after 2 to 10 days. Once clinical signs of rabies appear, the disease is nearly always fatal, and treatment is typically supportive.
                
Disease prevention includes administration of both passive antibody, through an injection of human immune globulin and a round of injections with rabies vaccine.
                
Once a person begins to exhibit signs of the disease, survival is rare. To date less than 10 documented cases of human survival from clinical rabies have been reported and only two have not had a history of pre- or postexposure prophylaxis."
symptoms,what are the symptoms of botulism?,"The classic symptoms of botulism include double vision, blurred vision, drooping eyelids, slurred speech, difficulty swallowing, dry mouth, and muscle weakness. Infants with botulism appear lethargic, feed poorly, are constipated, and have a weak cry and poor muscle tone. These are all symptoms of the muscle paralysis caused by the bacterial toxin. If untreated, these symptoms may progress to cause paralysis of the respiratory muscles, arms, legs, and trunk. In foodborne botulism, symptoms generally begin 18 to 36 hours after eating a contaminated food, but they can occur as early as 6 hours or as late as 10 days."
treatment,how can botulism be treated?,"The respiratory failure and paralysis that occur with severe botulism may require a patient to be on a breathing machine (ventilator) for weeks or months, plus intensive medical and nursing care. The paralysis slowly improves. Botulism can be treated with an antitoxin which blocks the action of toxin circulating in the blood. Antitoxin for infants is available from the California Department of Public Health, and antitoxin for older children and adults is available through CDC.If given before paralysis is complete, antitoxin can prevent worsening and shorten recovery time. Physicians may try to remove contaminated food still in the gut by inducing vomiting or by using enemas. Wounds should be treated, usually surgically, to remove the source of the toxin-producing bacteria followed by administration of appropriate antibiotics. Good supportive care in a hospital is the mainstay of therapy for all forms of botulism."
symptoms,What are the symptoms of Marburg hemorrhagic fever (Marburg HF) ?,"After an incubation period of 5-10 days, symptom onset is sudden and marked by fever, chills, headache, and myalgia. Around the fifth day after the onset of symptoms, a maculopapular rash, most prominent on the trunk (chest, back, stomach), may occur. Nausea, vomiting, chest pain, a sore throat, abdominal pain, and diarrhea may then appear. Symptoms become increasingly severe and can include jaundice, inflammation of the pancreas, severe weight loss, delirium, shock, liver failure, massive hemorrhaging, and multi-organ dysfunction. 
 
Because many of the signs and symptoms of Marburg hemorrhagic fever are similar to those of other infectious diseases such as malaria or typhoid fever, clinical diagnosis of the disease can be difficult, especially if only a single case is involved. 
 
The case-fatality rate for Marburg hemorrhagic fever is between 23-90%. For a complete listing of the case fatality rates for previous outbreaks, please see the History of Outbreaks table"
treatment,What are the treatments for Marburg hemorrhagic fever (Marburg HF) ?,"There is no specific treatment for Marburg hemorrhagic fever. Supportive hospital therapy should be utilized, which includes balancing the patient's fluids and electrolytes, maintaining oxygen status and blood pressure, replacing lost blood and clotting factors, and treatment for any complicating infections. 
 
Experimental treatments are validated in non-human primates models, but have never been tried in humans."
treatment,What are the treatments for Parasites - Leishmaniasis ?,"Before considering treatment, the first step is to make sure the diagnosis is correct.
    
Treatment decisions should be individualized. Health care providers may consult CDC staff about the relative merits of various approaches. Examples of factors to consider include the form of leishmaniasis, the Leishmania species that caused it, the potential severity of the case, and the patient's underlying health.
    
The skin sores of cutaneous leishmaniasis usually heal on their own, even without treatment. But this can take months or even years, and the sores can leave ugly scars. Another potential concern applies to some (not all) types of the parasite found in parts of Latin America: certain types might spread from the skin and cause sores in the mucous membranes of the nose (most common location), mouth, or throat (mucosal leishmaniasis). Mucosal leishmaniasis might not be noticed until years after the original sores healed. The best way to prevent mucosal leishmaniasis is to ensure adequate treatment of the cutaneous infection.
    
If not treated, severe (advanced) cases of visceral leishmaniasis typically are fatal.
    
More on: Resources for Health Professionals: Treatment"
treatment,What are the treatments for Parasites - Toxoplasmosis (Toxoplasma infection) ?,"Healthy people (nonpregnant)
    
Most healthy people recover from toxoplasmosis without treatment. Persons who are ill can be treated with a combination of drugs such as pyrimethamine and sulfadiazine, plus folinic acid.
    
     
    Pregnant women, newborns, and infants
    
Pregnant women, newborns, and infants can be treated, although the parasite is not eliminated completely. The parasites can remain within tissue cells in a less active phase; their location makes it difficult for the medication to completely eliminate them.
    
     
    Persons with ocular disease
    
Persons with ocular toxoplasmosis are sometimes prescribed medicine to treat active disease by their ophthalmologist. Whether or not medication is recommended depends on the size of the eye lesion, the location, and the characteristics of the lesion (acute active, versus chronic not progressing).
    
     
    Persons with compromised immune systems
    
Persons with compromised immune systems need to be treated until they have improvement in their condition. For AIDS patients, continuation of medication for the rest of their lives may be necessary, or for as long as they are immunosuppressed.
    
More on: Resources for Health Professionals: Treatment"
treatment,What are the treatments for Parasites - Hookworm ?,"Anthelminthic medications (drugs that rid the body of parasitic worms), such as albendazole and mebendazole, are the drugs of choice for treatment of hookworm infections. Infections are generally treated for 1-3 days. The recommended medications are effective and appear to have few side effects. Iron supplements may also be prescribed if the infected person has anemia.
    
More on: Resources for Health Professionals: Treatment"
treatment,What are the treatments for Parasites - American Trypanosomiasis (also known as Chagas Disease) ?,"Treatment for Chagas disease is recommended for all people diagnosed with an acute infection, congenital infection, and for those with suppressed immune systems, and for all children with chronic infection. Adults with chronic infection may also benefit from treatment.
    
For cardiac or gastrointestinal problems resulting from Chagas disease, symptomatic treatment may be helpful. Patients should consult with their primary health care provider. Some patients may be referred to a specialist, such as a cardiologist, gastroenterologist, or infectious disease specialist.
    
In the U.S., medication for Chagas is available only through CDC. Your health care provider can talk with CDC staff about whether and how you should be treated.
    
More on: Resources for Health Professionals: Antiparasitic Treatment"
symptoms,What are the symptoms of Nocardiosis ?,"The symptoms of nocardiosis vary depending on which part of your body is affected.
    
Nocardiosis infection most commonly occurs in the lung. If your lungs are infected, you can experience:
    
     - Fever
     - Weight loss
     - Night sweats
     - Cough
     - Chest pain
     - Pneumonia
    
    
When lung infections occur, the infection commonly spreads to the brain. If your central nervous system (brain and spinal cord) is infected, you can experience:
    
     - Headache
     - Weakness
     - Confusion
     - Seizures (sudden, abnormal electrical activity in the brain)
    
    
Skin infections can occur when open wounds or cuts come into contact with contaminated soil. If your skin is affected, you can experience:
    
     - Ulcers
     - Nodules sometimes draining and spreading along lymph nodes"
treatment,What are the treatments for Nocardiosis ?,"If you think you might be sick with nocardiosis, talk to your doctor.
    
He or she can help find out if you have the disease by performing tests that can identify the bacteria that causes nocardiosis.
    
Testing may involve taking tissue samples from the part of the body that is infected. Tissue samples may include the:
    
     - Brain
     - Skin
     - Lungs (or other parts of the lower airways)
     - Mucus from the lower airways"
symptoms,What are the symptoms of Chapare Hemorrhagic Fever (CHHF) ?,"The symptoms of CHHF, as reported in the only described patient, resemble those of other South American hemorrhagic fevers, such as Argentine HF or Bolivian HF. The incubation period is unknown, but for Argentine hemorrhagic fever (AHF) is 6 to 16 days. 
   
The CHHF clinical course included: 
    
    - fever 
    - headache 
    - articulation and muscle pain 
    - vomiting 
    
   
These symptoms were followed by deterioration with multiple hemorrhagic signs. The only described CHHF patient died 14 days after onset of symptoms. 
   
Since Arenaviruses may enter the fetus through infection of the mother, and anecdotal evidence suggests that infected pregnant women may suffer miscarriages, it is reasonable to assume that both infection of the fetus and miscarriage may be associated with CHHF infection in the mother."
treatment,What are the treatments for Chapare Hemorrhagic Fever (CHHF) ?,"Supportive therapy is important in CHHF. This includes: 
    
    - maintenance of hydration 
    - management of shock 
    - sedation 
    - pain relief 
    - usual precautions for patients with bleeding disorders 
    - transfusions (when necessary) 
    
   
Use of convalescent plasma therapy for treatment of AHF reduces mortality significantly and anecdotal evidence shows that the antiviral drug ribavirin may also hold promise for treating AHF. Ribavirin has also been considered for preventing development of disease in people exposed to other arenaviruses. 
   Recovery 
   
The precise mortality of CHHF is unknown and the only described case was fatal. 
   
Patients who have suffered from other arenaviruses may continue to excrete virus in urine or semen for weeks after recovery. For this reason, these fluids should be monitored for infectivity, since convalescent patients have the potential to infect others (particularly sexual partners) via these fluids."
treatment,how can y. enterocolitica infections be treated for Yersinia ?,"Uncomplicated cases of diarrhea due to Y. enterocolitica usually resolve on their own without antibiotic treatment. However, in more severe or complicated infections, antibiotics such as aminoglycosides, doxycycline, trimethoprim-sulfamethoxazole, or fluoroquinolones may be useful."
treatment,What are the treatments for Parasites - Lymphatic Filariasis ?,"Patients currently infected with the parasite
    
Diethylcarbamazine (DEC) is the drug of choice in the United States. The drug kills the microfilaria and some of the adult worms. DEC has been used world-wide for more than 50 years. Because this infection is rare in the U.S., the drug is no longer approved by the Food and Drug Administration (FDA) and cannot be sold in the U.S. Physicians can obtain the medication from CDC after confirmed positive lab results. CDC gives the physicians the choice between 1 or 12-day treatment of DEC (6 mg/kg/day). One day treatment is generally as effective as the 12-day regimen. DEC is generally well tolerated. Side effects are in general limited and depend on the number of microfilariae in the blood. The most common side effects are dizziness, nausea, fever, headache, or pain in muscles or joints.
    
DEC should not be administered to patients who may also have onchocerciasis as  DEC can worsen onchocercal eye disease.  In patients with loiasis, DEC can cause serious adverse reactions, including encephalopathy and death. The risk and severity of the adverse reactions are related to Loa loa microfilarial density.
The drug ivermectin kills only the microfilariae, but not the adult worm; the adult worm is responsible for the pathology of lymphedema and hydrocele.
    
Some studies have shown adult worm killing with treatment with doxycycline (200mg/day for 4–6 weeks).  
    Patients with clinical symptoms
    
Lymphedema and elephantiasis are not indications for DEC treatment because most people with lymphedema are not actively infected with the filarial parasite.
    
To prevent the lymphedema from getting worse, patients should ask their physician for a referral to a lymphedema therapist so they can be informed about some basic principles of care such as hygiene, exercise and treatment of wounds.
    
Patients with hydrocele may have evidence of active infection, but typically do not improve clinically following treatment with DEC. The treatment for hydrocele is surgery.
    
More on: Resources for Health Professionals: Treatment"
treatment,What are the treatments for Parasites - Loiasis ?,"Decisions about treatment of loiasis can be difficult and often require advice from an expert in infectious diseases or tropical medicine. Although surgical removal of adult worms moving under the skin or across the eye can be done to relieve anxiety, loiasis is not cured by surgery alone. There are two medications that can be used to treat the infection and manage the symptoms. The treatment of choice is diethylcarbamazine (DEC), which kills the microfilariae and adult worms. Albendazole is sometimes used in patients who are not cured with multiple DEC treatments. It is thought to kill adult worms. Certain people with heavy infections are at risk of brain inflammation when treated with DEC. This can cause coma or sometimes death. People with heavy infections need to be treated by experienced specialists.  Sometimes, other medical conditions need to be addressed first in order to make it safer to use DEC. Sometimes treatment is not recommended.
    
More on: Resources for Health Professionals: Treatment"
symptoms,What are the symptoms of Omsk Hemorrhagic Fever (OHF) ?,"After an incubation period of 3-8 days, the symptoms of OHF begin suddenly with chills, fever, headache, and severe muscle pain with vomiting, gastrointestinal symptoms and bleeding problems occurring 3-4 days after initial symptom onset. Patients may experience abnormally low blood pressure and low platelet, red blood cell, and white blood cell counts.  
                
After 1-2 weeks of symptoms, some patients recover without complication. However, the illness is biphasic for a subset of patients who experience a second wave of symptoms at the beginning of the third week. These symptoms include fever and encephalitis (inflammation of the brain). 
                
The case fatality rate of OHF is low (0.5% to 3%)."
treatment,What are the treatments for Omsk Hemorrhagic Fever (OHF) ?,"There is no specific treatment for OHF, but supportive therapy is important. Supportive therapy includes the maintenance of hydration and the usual precautions for patients with bleeding disorders. 
                
Though rare, OHF can cause hearing loss, hair loss, and behavioral or psychological difficulties associated with neurological conditions and long term supportive case may be needed."
